region,name,link,title
BB,Vladislav Lalka,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_56kampan_bb/BB_LalkaVladislav.pdf,"Vladislav Lalka (PDF, 445 kB)"
BB,Roman Lebeda,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_56kampan_bb/BB_LebedaRoman.pdf,"Roman Lebeda (PDF, 899 kB)"
BB,Ondrej Lunter,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_56kampan_bb/BB_LunterOndrej.pdf,"Ondrej Lunter (PDF, 425 kB)"
BB,Vladimír Maňka,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_56kampan_bb/BB_MankaVladimir.pdf,"Vladimír Maňka (PDF, 169 kB)"
BB,Petra Mazúrová,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_56kampan_bb/BB_MazurovaPetra.pdf,"Petra Mazúrová (PDF, 836 kB)"
BB,Štefan Mičura,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_56kampan_bb/BB_MicuraStefan.pdf,"Štefan Mičura (PDF, 82 kB)"
BB,Ján Nosko,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_56kampan_bb/BB_NoskoJan.pdf,"Ján Nosko (PDF, 424 kB)"
BB,Rút Olšiaková,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_56kampan_bb/BB_OlsiakovaRut.pdf,"Rút Olšiaková (PDF, 839 kB)"
BB,Mikuláš Pá,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_56kampan_bb/BB_PalMikulas.pdf,"Mikuláš Pál (PDF, 483 kB)"
BB,Alexandra Pivková,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_56kampan_bb/BB_PivkovaAlexandra.pdf,"Alexandra Pivková (PDF, 846 kB)"
BB,Martin Pliešovský,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_56kampan_bb/BB_PliesovskyMartin.pdf,"Martin Pliešovský (PDF, 881 kB)"
BB,Adrian Polóny,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_56kampan_bb/BB_PolonyAdrian.pdf,"Adrian Polóny (PDF, 292 kB)"
BB,Jaroslav Považan,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_56kampan_bb/BB_PovazanJaroslav.pdf,"Jaroslav Považan (PDF, 272 kB)"
BB,Peter Rék,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_56kampan_bb/BB_RekPeter.pdf,"Peter Rék (PDF, 2 MB)"
BB,Peter Sitor,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_56kampan_bb/BB_SitorPeter.pdf,"Peter Sitor (PDF, 392 kB)"
BB,Jaroslav Stehlík,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_56kampan_bb/BB_StehlikJaroslav.pdf,"Jaroslav Stehlík (PDF, 6 MB)"
BB,Miroslav Suja,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_56kampan_bb/BB_SujaMiroslav.pdf,"Miroslav Suja (PDF, 811 kB)"
BB,Jozef Šimko,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_56kampan_bb/BB_SimkoJozef.pdf,"Jozef Šimko (PDF, 749 kB)"
BB,Ján Šufliarsky,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_56kampan_bb/BB_SufliarskyJan.pdf,"Ján Šufliarsky (PDF, 229 kB)"
BB,Klaudia Vajová,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_56kampan_bb/BB_VajovaKlaudia.pdf,"Klaudia Vajová (PDF, 471 kB)"
BB,Viktória Valachovičová,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_56kampan_bb/BB_ValachovicovaViktoria.pdf,"Viktória Valachovičová (PDF, 691 kB)"
BB,Radoslav Vazan,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_56kampan_bb/BB_VazanRadoslav.pdf,"Radoslav Vazan (PDF, 869 kB)"
BB,Radim Vojtko,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_56kampan_bb/BB_VojtkoRadim.pdf,"Radim Vojtko (PDF, 123 kB)"
BB,Jozef Výbošťok,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_56kampan_bb/BB_VybostokJozef.pdf,"Jozef Výbošťok (PDF, 7 MB)"
KE,Štefan Benko,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_58kampan_ke/KE_BenkoStefan.pdf,"Štefan Benko (PDF, 135 kB)"
KE,Slavomír Borovský,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_58kampan_ke/KE_BorovskySlavomir.pdf,"Slavomír Borovský (PDF, 847 kB)"
KE,Pavol Burdiga,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_58kampan_ke/KE_BurdigaPavol.pdf,"Pavol Burdiga (PDF, 824 kB)"
KE,Andrej Cpin,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_58kampan_ke/KE_CpinAndrej.pdf,"Andrej Cpin (PDF, 590 kB)"
KE,Michal Djordjevič,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_58kampan_ke/KE_DjordjevicMichal.pdf,"Michal Djordjevič (PDF, 960 kB)"
KE,Dušan Drotár,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_58kampan_ke/KE_DrotarDusan.pdf,"Dušan Drotár (PDF, 277 kB)"
KE,Jaroslav Džunko,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_58kampan_ke/KE_DzunkoJaroslav.pdf,"Jaroslav Džunko (PDF, 861 kB)"
KE,Pavol Džurina,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_58kampan_ke/KE_DzurinaPavol.pdf,"Pavol Džurina (PDF, 335 kB)"
KE,Štefan Ferencsik,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_58kampan_ke/KE_FerencsikStefan.pdf,"Štefan Ferencsik (PDF, 831 kB)"
KE,Patrik Géci,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_58kampan_ke/KE_GeciPatrik.pdf,"Patrik Géci (PDF, 805 kB)"
KE,Michal Gič,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_58kampan_ke/KE_GicMichal.pdf,"Michal Gič (PDF, 1 MB)"
KE,Lukáš Harhaj,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_58kampan_ke/KE_HarhajLukas.pdf,"Lukáš Harhaj (PDF, 3 MB)"
KE,Alena Hiráková,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_58kampan_ke/KE_HirakovaAlena.pdf,"Alena Hiráková (PDF, 1 MB)"
KE,Michal Hohoš,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_58kampan_ke/KE_HohosMichal.pdf,"Michal Hohoš (PDF, 825 kB)"
KE,Marek Hutník,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_58kampan_ke/KE_HutnikMarek.pdf,"Marek Hutník (PDF, 61 kB)"
KE,Miloš Ihnát,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_58kampan_ke/KE_IhnatMilos.pdf,"Miloš Ihnát (PDF, 845 kB)"
KE,Lucia Iľaščíková,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_58kampan_ke/KE_IlascakovaLucia.pdf,"Lucia Iľaščíková (PDF, 839 kB)"
KE,Anna Jenčová,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_58kampan_ke/KE_JencovaAnna.pdf,"Anna Jenčová (PDF, 1 MB)"
KE,Milan Kaplan,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_58kampan_ke/KE_KaplanMilan.pdf,"Milan Kaplan (PDF, 896 kB)"
KE,Džemal Kodrazi,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_58kampan_ke/KE_KodraziDzemal.pdf,"Džemal Kodrazi (PDF, 1 MB)"
KE,Michal Kotrady,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_58kampan_ke/KE_KotradyMichal.pdf,"Michal Kotrady (PDF, 173 kB)"
KE,Vladimír Kozák,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_58kampan_ke/KE_KozakVladimir.pdf,"Vladimír Kozák (PDF, 379 kB)"
KE,Matej Kundrát,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_58kampan_ke/KE_KundratMatej.pdf,"Matej Kundrát (PDF, 1 MB)"
KE,Štefan Lasky,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_58kampan_ke/KE_LaskyStefan.pdf,"Štefan Lasky (PDF, 263 kB)"
KE,Ladislav Lörinc,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_58kampan_ke/KE_LorincLadislav.pdf,"Ladislav Lörinc (PDF, 461 kB)"
KE,Rudolf Mihálik,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_58kampan_ke/KE_MihalikRudolf.pdf,"Rudolf Mihálik (PDF, 907 kB)"
